credit_pass_date,credit_type,risk_level,product,platform,media,credit_limit_bucket,t0_utilization_bucket,credit_pass_customer_cnt,t0_withdraw_numerator,t0_withdraw_denominator,t7_withdraw_numerator,t7_withdraw_denominator,t0_withdraw_utilization_numerator,t0_withdraw_utilization_denominator,credit_pass_limit_amt_sum
2026-08-21,01_首次授信,RG4,CL_05,Android,Google,04_60万,01_100%以下,1,1,1,1,1,300000.0,600000.0,600000.0
2026-09-02,01_首次授信,RG0,CL_06,iOS,Organic,10_200万及以上,02_100%及以上,1,1,1,1,1,6000000.0,6000000.0,6000000.0
2026-08-25,01_首次授信,RG4,CL_05,Android,Organic,03_50万,02_100%及以上,2,2,2,2,2,1000000.0,1000000.0,1000000.0
2026-07-23,01_首次授信,RG2,CL_05,iOS,Facebook,07_120万,,2,0,2,1,2,0.0,0.0,2400000.0
2026-07-16,02_非首次授信,RG7,CL_05,Android,Facebook,01_30万,02_100%及以上,2,2,2,2,2,600000.0,600000.0,600000.0
2026-08-28,01_首次授信,RG2,CL_05,Android,Facebook,06_100万,,2,0,2,0,2,0.0,0.0,2000000.0
2026-09-06,01_首次授信,RG3,CL_05,Android,Facebook,04_60万,,9,0,9,0,0,0.0,0.0,5400000.0
2026-07-29,02_非首次授信,RG4,CL_05,Android,Google,04_60万,,1,0,1,0,1,0.0,0.0,600000.0
2026-08-04,01_首次授信,RG2,CL_05,iOS,Facebook,08_150万,,1,0,1,0,1,0.0,0.0,1500000.0
2026-08-04,01_首次授信,RG1,CL_01,Android,Facebook,08_150万,02_100%及以上,2,2,2,2,2,3000000.0,3000000.0,3000000.0
2026-08-27,01_首次授信,RG3,CL_05,Android,Google,05_80万,02_100%及以上,3,3,3,3,3,2400000.0,2400000.0,2400000.0
2026-08-23,01_首次授信,RG4,CL_05,iOS,Organic,04_60万,,2,0,2,2,2,0.0,0.0,1200000.0
2026-08-10,01_首次授信,RG6,CL_05,Android,Facebook,01_30万,02_100%及以上,1,1,1,1,1,300000.0,300000.0,300000.0
2026-08-14,01_首次授信,RG3,CL_05,Android,Tiktok,05_80万,,1,0,1,0,1,0.0,0.0,800000.0
2026-08-27,01_首次授信,RG5,CL_05,Android,Google,01_30万,,1,0,1,0,1,0.0,0.0,300000.0
2026-08-20,01_首次授信,RG2,CL_01,iOS,Organic,10_200万及以上,,1,0,1,1,1,0.0,0.0,2000000.0
2026-08-05,01_首次授信,RG2,CL_05,Android,Google,06_100万,02_100%及以上,1,1,1,1,1,1000000.0,1000000.0,1000000.0
2026-08-16,01_首次授信,RG5,CL_05,Android,Facebook,01_30万,02_100%及以上,3,3,3,3,3,900000.0,900000.0,900000.0
2026-08-29,01_首次授信,RG3,CL_05,iOS,Facebook,05_80万,,3,0,3,2,3,0.0,0.0,2400000.0
2026-07-20,02_非首次授信,RG5,CL_05,iOS,Facebook,02_40万,02_100%及以上,1,1,1,1,1,400000.0,400000.0,400000.0
2026-07-11,01_首次授信,RG3,CL_03,iOS,Organic,07_120万,02_100%及以上,1,1,1,1,1,1200000.0,1200000.0,1200000.0
2026-07-12,02_非首次授信,RG3,CL_04,Android,Facebook,04_60万,02_100%及以上,1,1,1,1,1,600000.0,600000.0,600000.0
2026-08-12,01_首次授信,RG1,CL_01,iOS,Tiktok,10_200万及以上,,1,0,1,0,1,0.0,0.0,2500000.0
2026-08-01,02_非首次授信,RG5,CL_05,Android,Facebook,01_30万,,1,0,1,1,1,0.0,0.0,300000.0
2026-07-13,01_首次授信,RG3,CL_03,iOS,其他,05_80万,02_100%及以上,1,1,1,1,1,800000.0,800000.0,800000.0
2026-07-28,01_首次授信,RG5,CL_05,Android,Tiktok,01_30万,02_100%及以上,1,1,1,1,1,300000.0,300000.0,300000.0
2026-08-27,01_首次授信,RG5,CL_05,iOS,ASA,01_30万,,1,0,1,0,1,0.0,0.0,300000.0
2026-07-23,02_非首次授信,RG3,CL_05,Android,Organic,05_80万,01_100%以下,1,1,1,1,1,400000.0,800000.0,800000.0
2026-08-13,01_首次授信,RG2,CL_05,iOS,Organic,07_120万,02_100%及以上,1,1,1,1,1,1200000.0,1200000.0,1200000.0
2026-07-18,01_首次授信,RG2,CL_01,Android,Organic,08_150万,,1,0,1,1,1,0.0,0.0,1500000.0
2026-07-17,02_非首次授信,RG5,CL_05,iOS,空值,02_40万,02_100%及以上,1,1,1,1,1,400000.0,400000.0,400000.0
2026-08-15,01_首次授信,RG4,CL_05,iOS,Tiktok,04_60万,02_100%及以上,1,1,1,1,1,600000.0,600000.0,600000.0
2026-07-11,01_首次授信,RG7,CL_05,Android,Facebook,01_30万,02_100%及以上,2,2,2,2,2,600000.0,600000.0,600000.0
2026-08-08,01_首次授信,RG1,CL_01,Android,Google,08_150万,02_100%及以上,2,2,2,2,2,3000000.0,3000000.0,3000000.0
2026-08-09,01_首次授信,RG2,CL_07,Android,Facebook,07_120万,02_100%及以上,4,4,4,4,4,4800000.0,4800000.0,4800000.0
2026-08-17,01_首次授信,RG5,CL_05,Android,Tiktok,01_30万,02_100%及以上,2,2,2,2,2,600000.0,600000.0,600000.0
2026-08-09,01_首次授信,RG2,CL_07,Android,Facebook,07_120万,,7,0,7,2,7,0.0,0.0,8400000.0
2026-08-06,02_非首次授信,RG5,CL_05,iOS,Facebook,01_30万,02_100%及以上,3,3,3,3,3,900000.0,900000.0,900000.0
2026-07-30,01_首次授信,RG4,CL_05,Android,Google,02_40万,02_100%及以上,7,7,7,7,7,2800000.0,2800000.0,2800000.0
2026-07-23,01_首次授信,RG4,CL_05,Android,Tiktok,04_60万,02_100%及以上,1,1,1,1,1,600000.0,600000.0,600000.0
2026-08-14,02_非首次授信,RG2,CL_05,Android,Google,07_120万,,1,0,1,1,1,0.0,0.0,1200000.0
2026-08-26,01_首次授信,RG3,CL_05,Android,Google,05_80万,,1,0,1,1,1,0.0,0.0,800000.0
2026-08-09,02_非首次授信,RG3,CL_05,Android,Tiktok,05_80万,02_100%及以上,1,1,1,1,1,800000.0,800000.0,800000.0
2026-07-26,01_首次授信,RG5,CL_05,Android,Google,02_40万,02_100%及以上,11,11,11,11,11,4400000.0,4400000.0,4400000.0
2026-07-22,02_非首次授信,RG4,CL_05,Android,Facebook,04_60万,02_100%及以上,2,2,2,2,2,1200000.0,1200000.0,1200000.0
2026-07-20,01_首次授信,RG3,CL_05,iOS,Organic,07_120万,,1,0,1,1,1,0.0,0.0,1200000.0
2026-08-07,01_首次授信,RG4,CL_05,Android,Tiktok,04_60万,,3,0,3,3,3,0.0,0.0,1800000.0
2026-08-03,01_首次授信,RG5,CL_05,iOS,Organic,01_30万,,10,0,10,4,10,0.0,0.0,3000000.0
2026-08-01,02_非首次授信,RG4,CL_05,Android,Facebook,04_60万,02_100%及以上,4,4,4,4,4,2400000.0,2400000.0,2400000.0
2026-08-08,02_非首次授信,RG1,CL_01,iOS,空值,10_200万及以上,02_100%及以上,1,1,1,1,1,3000000.0,3000000.0,3000000.0
2026-07-14,01_首次授信,RG3,CL_03,iOS,Organic,07_120万,02_100%及以上,2,2,2,2,2,2400000.0,2400000.0,2400000.0
2026-07-15,01_首次授信,RG3,CL_03,Android,Facebook,04_60万,02_100%及以上,3,3,3,3,3,1800000.0,1800000.0,1800000.0
2026-08-03,01_首次授信,RG1,CL_01,iOS,Organic,10_200万及以上,,2,0,2,0,2,0.0,0.0,6300000.0
2026-08-11,01_首次授信,RG4,CL_05,Android,Facebook,04_60万,02_100%及以上,3,3,3,3,3,1800000.0,1800000.0,1800000.0
2026-07-16,01_首次授信,RG5,CL_05,iOS,Organic,02_40万,02_100%及以上,8,8,8,8,8,3200000.0,3200000.0,3200000.0
2026-09-05,01_首次授信,RG4,CL_05,Android,Tiktok,03_50万,02_100%及以上,3,3,3,0,0,1500000.0,1500000.0,1500000.0
2026-07-12,01_首次授信,RG1,CL_01,iOS,Organic,10_200万及以上,02_100%及以上,2,2,2,2,2,5000000.0,5000000.0,5000000.0
2026-07-16,02_非首次授信,RG2,CL_01,iOS,空值,10_200万及以上,,1,0,1,0,1,0.0,0.0,2000000.0
2026-08-29,01_首次授信,RG5,CL_05,iOS,Facebook,01_30万,02_100%及以上,1,1,1,1,1,300000.0,300000.0,300000.0
2026-07-11,01_首次授信,RG6,CL_05,Android,Organic,02_40万,02_100%及以上,1,1,1,1,1,400000.0,400000.0,400000.0
2026-07-16,01_首次授信,RG3,CL_05,iOS,Facebook,05_80万,,1,0,1,0,1,0.0,0.0,800000.0
2026-08-24,01_首次授信,RG1,CL_01,Android,Google,08_150万,02_100%及以上,1,1,1,1,1,1500000.0,1500000.0,1500000.0
2026-07-11,01_首次授信,RG3,CL_03,iOS,Organic,07_120万,,3,0,3,0,3,0.0,0.0,3600000.0
2026-09-03,01_首次授信,RG1,CL_01,Android,Google,08_150万,,2,0,2,0,0,0.0,0.0,3000000.0
2026-08-05,01_首次授信,RG2,CL_07,Android,Facebook,07_120万,01_100%以下,1,1,1,1,1,500000.0,1200000.0,1200000.0
2026-08-19,02_非首次授信,RG3,CL_05,iOS,空值,05_80万,,1,0,1,0,1,0.0,0.0,800000.0
2026-09-04,01_首次授信,RG2,CL_07,iOS,Facebook,08_150万,02_100%及以上,1,1,1,0,0,1500000.0,1500000.0,1500000.0
2026-07-25,01_首次授信,RG3,CL_05,Android,Organic,05_80万,,1,0,1,1,1,0.0,0.0,800000.0
2026-07-24,01_首次授信,RG4,CL_05,Android,Facebook,02_40万,02_100%及以上,6,6,6,6,6,2400000.0,2400000.0,2400000.0
2026-07-17,01_首次授信,RG5,CL_05,Android,Tiktok,01_30万,02_100%及以上,2,2,2,2,2,600000.0,600000.0,600000.0
2026-08-06,01_首次授信,RG4,CL_05,Android,Facebook,02_40万,02_100%及以上,4,4,4,4,4,1600000.0,1600000.0,1600000.0
2026-08-09,01_首次授信,RG2,CL_05,Android,Facebook,07_120万,,1,0,1,0,1,0.0,0.0,1200000.0
2026-07-18,01_首次授信,RG4,CL_05,iOS,Organic,04_60万,02_100%及以上,2,2,2,2,2,1200000.0,1200000.0,1200000.0
2026-08-21,01_首次授信,RG3,CL_05,Android,Google,04_60万,,6,0,6,2,6,0.0,0.0,3600000.0
2026-08-19,01_首次授信,RG4,CL_05,Android,Tiktok,01_30万,02_100%及以上,1,1,1,1,1,300000.0,300000.0,300000.0
2026-08-23,01_首次授信,RG1,CL_01,iOS,Organic,10_200万及以上,,1,0,1,0,1,0.0,0.0,2500000.0
2026-08-03,01_首次授信,RG5,CL_05,iOS,Facebook,02_40万,02_100%及以上,3,3,3,3,3,1200000.0,1200000.0,1200000.0
2026-08-24,02_非首次授信,RG3,CL_05,iOS,Facebook,07_120万,,1,0,1,1,1,0.0,0.0,1200000.0
2026-08-16,01_首次授信,RG3,CL_05,iOS,Facebook,07_120万,,2,0,2,0,2,0.0,0.0,2400000.0
2026-08-12,01_首次授信,RG2,CL_07,Android,Google,07_120万,02_100%及以上,2,2,2,2,2,2400000.0,2400000.0,2400000.0
2026-07-13,02_非首次授信,RG4,CL_04,Android,Organic,02_40万,02_100%及以上,1,1,1,1,1,400000.0,400000.0,400000.0
2026-08-19,02_非首次授信,RG3,CL_05,Android,Google,04_60万,02_100%及以上,2,2,2,2,2,1200000.0,1200000.0,1200000.0
2026-08-14,02_非首次授信,RG2,CL_07,Android,Facebook,07_120万,,1,0,1,0,1,0.0,0.0,1200000.0
2026-08-03,01_首次授信,RG7,CL_05,Android,Tiktok,01_30万,,1,0,1,0,1,0.0,0.0,300000.0
2026-07-25,01_首次授信,RG2,CL_05,Android,Facebook,06_100万,,2,0,2,1,2,0.0,0.0,2000000.0
2026-07-27,01_首次授信,RG5,CL_05,Android,Facebook,01_30万,02_100%及以上,5,5,5,5,5,1500000.0,1500000.0,1500000.0
2026-08-17,01_首次授信,RG4,CL_05,Android,Tiktok,02_40万,02_100%及以上,5,5,5,5,5,2000000.0,2000000.0,2000000.0
2026-09-07,01_首次授信,RG4,CL_05,Android,Google,01_30万,,2,0,2,0,0,0.0,0.0,600000.0
2026-07-25,02_非首次授信,RG2,CL_05,Android,空值,06_100万,02_100%及以上,1,1,1,1,1,1000000.0,1000000.0,1000000.0
2026-08-11,01_首次授信,RG4,CL_05,iOS,空值,05_80万,,1,0,1,1,1,0.0,0.0,800000.0
2026-08-27,01_首次授信,RG3,CL_05,iOS,Facebook,06_100万,,1,0,1,0,1,0.0,0.0,1000000.0
2026-08-24,01_首次授信,RG2,CL_07,iOS,Facebook,08_150万,,1,0,1,0,1,0.0,0.0,1500000.0
2026-08-03,02_非首次授信,RG5,CL_05,Android,Google,02_40万,02_100%及以上,3,3,3,3,3,1200000.0,1200000.0,1200000.0
2026-08-23,01_首次授信,RG3,CL_05,iOS,Organic,05_80万,02_100%及以上,3,3,3,3,3,2400000.0,2400000.0,2400000.0
2026-08-20,01_首次授信,RG2,CL_05,Android,ASA,07_120万,,1,0,1,1,1,0.0,0.0,1200000.0
2026-07-16,01_首次授信,RG2,CL_01,Android,Facebook,08_150万,01_100%以下,1,1,1,1,1,1000000.0,1500000.0,1500000.0
2026-08-18,01_首次授信,RG2,CL_05,Android,Tiktok,06_100万,,1,0,1,0,1,0.0,0.0,1000000.0
2026-08-05,01_首次授信,RG6,CL_05,Android,Organic,01_30万,02_100%及以上,1,1,1,1,1,300000.0,300000.0,300000.0
2026-07-19,02_非首次授信,RG5,CL_05,Android,Facebook,01_30万,,1,0,1,0,1,0.0,0.0,300000.0
2026-08-17,01_首次授信,RG4,CL_05,Android,Tiktok,04_60万,02_100%及以上,2,2,2,2,2,1200000.0,1200000.0,1200000.0
2026-08-22,01_首次授信,RG3,CL_05,Android,其他,04_60万,02_100%及以上,1,1,1,1,1,600000.0,600000.0,600000.0
2026-07-16,02_非首次授信,RG7,CL_05,Android,Facebook,01_30万,,1,0,1,1,1,0.0,0.0,300000.0
2026-08-13,01_首次授信,RG2,CL_05,Android,Tiktok,07_120万,02_100%及以上,3,3,3,3,3,3600000.0,3600000.0,3600000.0
2026-07-18,02_非首次授信,RG7,CL_05,Android,Organic,01_30万,02_100%及以上,4,4,4,4,4,1200000.0,1200000.0,1200000.0
2026-08-03,01_首次授信,RG4,CL_05,Android,Tiktok,02_40万,,2,0,2,1,2,0.0,0.0,800000.0
2026-08-11,02_非首次授信,RG2,CL_07,Android,Tiktok,07_120万,,1,0,1,1,1,0.0,0.0,1200000.0
2026-09-03,02_非首次授信,RG4,CL_05,Android,Google,04_60万,,1,0,1,0,0,0.0,0.0,600000.0
2026-09-01,01_首次授信,RG3,CL_05,Android,Facebook,05_80万,,5,0,5,1,5,0.0,0.0,4000000.0
2026-08-18,01_首次授信,RG2,CL_01,iOS,Google,10_200万及以上,,1,0,1,1,1,0.0,0.0,2600000.0
2026-08-10,01_首次授信,RG3,CL_05,Android,Google,04_60万,02_100%及以上,5,5,5,5,5,3000000.0,3000000.0,3000000.0
2026-08-14,01_首次授信,RG4,CL_05,iOS,Organic,05_80万,02_100%及以上,3,3,3,3,3,2400000.0,2400000.0,2400000.0
2026-07-14,01_首次授信,RG5,CL_04,Android,Facebook,02_40万,,1,0,1,1,1,0.0,0.0,400000.0
2026-08-20,02_非首次授信,RG5,CL_05,Android,Google,02_40万,02_100%及以上,1,1,1,1,1,400000.0,400000.0,400000.0
2026-07-19,02_非首次授信,RG4,CL_05,Android,Facebook,02_40万,02_100%及以上,2,2,2,2,2,800000.0,800000.0,800000.0
2026-08-23,01_首次授信,RG3,CL_05,Android,Tiktok,04_60万,02_100%及以上,2,2,2,2,2,1200000.0,1200000.0,1200000.0
2026-08-03,02_非首次授信,RG4,CL_05,Android,Organic,02_40万,,1,0,1,0,1,0.0,0.0,400000.0
2026-09-04,02_非首次授信,RG3,CL_05,Android,Google,04_60万,02_100%及以上,1,1,1,0,0,600000.0,600000.0,600000.0
2026-07-21,01_首次授信,RG5,CL_05,iOS,ASA,01_30万,02_100%及以上,1,1,1,1,1,300000.0,300000.0,300000.0
2026-09-06,01_首次授信,RG2,CL_05,Android,Organic,07_120万,,1,0,1,0,0,0.0,0.0,1200000.0
2026-09-06,01_首次授信,RG4,CL_05,Android,Google,03_50万,,1,0,1,0,0,0.0,0.0,500000.0
2026-07-17,01_首次授信,RG3,CL_05,iOS,Organic,05_80万,,1,0,1,0,1,0.0,0.0,800000.0
2026-07-15,01_首次授信,RG3,CL_03,Android,Facebook,05_80万,02_100%及以上,2,2,2,2,2,1600000.0,1600000.0,1600000.0
2026-07-31,01_首次授信,RG5,CL_05,Android,Google,02_40万,02_100%及以上,10,10,10,10,10,4000000.0,4000000.0,4000000.0
2026-09-04,02_非首次授信,RG4,CL_05,Android,Google,04_60万,02_100%及以上,1,1,1,0,0,600000.0,600000.0,600000.0
2026-07-18,01_首次授信,RG2,CL_01,Android,Organic,08_150万,02_100%及以上,1,1,1,1,1,1500000.0,1500000.0,1500000.0
2026-08-19,01_首次授信,RG2,CL_05,Android,Tiktok,07_120万,02_100%及以上,1,1,1,1,1,1200000.0,1200000.0,1200000.0
2026-08-29,02_非首次授信,RG2,CL_05,Android,Organic,07_120万,02_100%及以上,1,1,1,1,1,1200000.0,1200000.0,1200000.0
2026-08-13,01_首次授信,RG3,CL_05,iOS,ASA,07_120万,02_100%及以上,1,1,1,1,1,1200000.0,1200000.0,1200000.0
2026-07-27,01_首次授信,RG4,CL_05,Android,Facebook,04_60万,,2,0,2,0,2,0.0,0.0,1200000.0
2026-07-11,01_首次授信,RG2,CL_04,Android,Facebook,07_120万,,1,0,1,1,1,0.0,0.0,1200000.0
2026-08-16,01_首次授信,RG7,CL_05,Android,Google,01_30万,02_100%及以上,3,3,3,3,3,900000.0,900000.0,900000.0
2026-07-14,01_首次授信,RG3,CL_05,Android,Facebook,04_60万,,2,0,2,2,2,0.0,0.0,1200000.0
2026-08-14,01_首次授信,RG1,CL_01,iOS,Organic,10_200万及以上,,3,0,3,1,3,0.0,0.0,7500000.0
2026-08-19,01_首次授信,RG5,CL_05,iOS,Google,01_30万,,1,0,1,0,1,0.0,0.0,300000.0
2026-09-05,01_首次授信,RG2,CL_07,Android,Tiktok,08_150万,02_100%及以上,1,1,1,0,0,1500000.0,1500000.0,1500000.0
2026-08-09,01_首次授信,RG4,CL_05,iOS,Tiktok,05_80万,,2,0,2,1,2,0.0,0.0,1600000.0
2026-07-14,01_首次授信,RG5,CL_03,Android,Facebook,02_40万,,2,0,2,0,2,0.0,0.0,800000.0
2026-08-20,01_首次授信,RG5,CL_05,iOS,Organic,01_30万,02_100%及以上,7,7,7,7,7,2100000.0,2100000.0,2100000.0
2026-08-01,02_非首次授信,RG4,CL_05,Android,Google,04_60万,02_100%及以上,2,2,2,2,2,1200000.0,1200000.0,1200000.0
2026-07-28,01_首次授信,RG1,CL_01,iOS,Organic,10_200万及以上,,2,0,2,2,2,0.0,0.0,5800000.0
2026-07-13,01_首次授信,RG5,CL_04,iOS,Organic,01_30万,,3,0,3,1,3,0.0,0.0,900000.0
2026-08-09,01_首次授信,RG3,CL_05,Android,Organic,05_80万,,2,0,2,0,2,0.0,0.0,1600000.0
2026-07-17,01_首次授信,RG1,CL_01,iOS,Organic,10_200万及以上,02_100%及以上,3,3,3,3,3,7500000.0,7500000.0,7500000.0
2026-08-06,01_首次授信,RG7,CL_05,Android,Facebook,01_30万,02_100%及以上,3,3,3,3,3,900000.0,900000.0,900000.0
2026-07-11,02_非首次授信,RG5,CL_04,iOS,Organic,01_30万,02_100%及以上,2,2,2,2,2,600000.0,600000.0,600000.0
2026-08-04,01_首次授信,RG5,CL_05,iOS,Organic,02_40万,02_100%及以上,8,8,8,8,8,3200000.0,3200000.0,3200000.0
2026-08-02,01_首次授信,RG4,CL_05,iOS,Organic,04_60万,,1,0,1,1,1,0.0,0.0,600000.0
2026-07-29,01_首次授信,RG2,CL_07,iOS,Facebook,08_150万,,2,0,2,1,2,0.0,0.0,3000000.0
2026-08-03,01_首次授信,RG4,CL_05,iOS,Organic,05_80万,02_100%及以上,2,2,2,2,2,1600000.0,1600000.0,1600000.0
2026-07-11,01_首次授信,RG3,CL_05,iOS,Facebook,07_120万,02_100%及以上,1,1,1,1,1,1200000.0,1200000.0,1200000.0
2026-08-05,01_首次授信,RG1,CL_01,iOS,Tiktok,10_200万及以上,02_100%及以上,1,1,1,1,1,2500000.0,2500000.0,2500000.0
2026-09-06,01_首次授信,RG3,CL_05,Android,Google,05_80万,02_100%及以上,2,2,2,0,0,1600000.0,1600000.0,1600000.0
2026-08-17,01_首次授信,RG4,CL_05,iOS,Organic,05_80万,,1,0,1,1,1,0.0,0.0,800000.0
2026-08-12,01_首次授信,RG2,CL_07,Android,Facebook,07_120万,,1,0,1,1,1,0.0,0.0,1200000.0
2026-07-31,01_首次授信,RG5,CL_05,iOS,Tiktok,01_30万,,2,0,2,0,2,0.0,0.0,600000.0
2026-08-09,01_首次授信,RG2,CL_05,Android,Google,07_120万,,1,0,1,0,1,0.0,0.0,1200000.0
2026-08-16,02_非首次授信,RG7,CL_05,Android,空值,01_30万,02_100%及以上,1,1,1,1,1,300000.0,300000.0,300000.0
2026-07-30,01_首次授信,RG2,CL_05,iOS,Tiktok,07_120万,02_100%及以上,1,1,1,1,1,1200000.0,1200000.0,1200000.0
2026-09-05,02_非首次授信,RG5,CL_05,iOS,ASA,02_40万,02_100%及以上,1,1,1,0,0,400000.0,400000.0,400000.0
2026-08-13,01_首次授信,RG3,CL_05,iOS,Facebook,05_80万,,1,0,1,0,1,0.0,0.0,800000.0
2026-09-06,01_首次授信,RG4,CL_05,Android,Organic,01_30万,02_100%及以上,1,1,1,0,0,300000.0,300000.0,300000.0
2026-07-18,01_首次授信,RG2,CL_05,iOS,Facebook,07_120万,,1,0,1,0,1,0.0,0.0,1200000.0
2026-07-13,01_首次授信,RG2,CL_01,iOS,Facebook,10_200万及以上,,1,0,1,0,1,0.0,0.0,2000000.0
2026-07-22,02_非首次授信,RG5,CL_05,Android,Facebook,01_30万,02_100%及以上,3,3,3,3,3,900000.0,900000.0,900000.0
2026-08-05,01_首次授信,RG2,CL_05,Android,Google,06_100万,,2,0,2,0,2,0.0,0.0,2000000.0
2026-08-05,02_非首次授信,RG5,CL_05,iOS,Organic,01_30万,,1,0,1,1,1,0.0,0.0,300000.0
2026-08-04,01_首次授信,RG5,CL_05,Android,Tiktok,02_40万,,1,0,1,0,1,0.0,0.0,400000.0
2026-07-21,01_首次授信,RG3,CL_05,Android,Facebook,04_60万,02_100%及以上,2,2,2,2,2,1200000.0,1200000.0,1200000.0
2026-07-27,01_首次授信,RG2,CL_05,Android,Organic,07_120万,02_100%及以上,2,2,2,2,2,2400000.0,2400000.0,2400000.0
2026-07-15,01_首次授信,RG4,CL_05,Android,Organic,04_60万,02_100%及以上,1,1,1,1,1,600000.0,600000.0,600000.0
2026-07-12,01_首次授信,RG5,CL_03,iOS,Organic,02_40万,02_100%及以上,3,3,3,3,3,1200000.0,1200000.0,1200000.0
2026-07-12,02_非首次授信,RG3,CL_03,Android,Google,05_80万,,1,0,1,1,1,0.0,0.0,800000.0
2026-08-06,01_首次授信,RG6,CL_05,Android,Facebook,01_30万,,1,0,1,0,1,0.0,0.0,300000.0
2026-08-04,01_首次授信,RG0,CL_01,iOS,Facebook,10_200万及以上,02_100%及以上,1,1,1,1,1,4800000.0,4800000.0,4800000.0
2026-07-25,01_首次授信,RG3,CL_05,Android,Organic,05_80万,02_100%及以上,1,1,1,1,1,800000.0,800000.0,800000.0
